order_id,line_no,import_readiness,item_source,raw_item_text,item_label,item_type,rental_bundle_external_key,rental_item_sku,qty,duration_days,price_per_day_idr,line_total_idr,price_basis,line_blocker,mapping_note
ORD-011,3,needs_review_source_conflict,main_pengiriman,PAKET Single 90 → 1 pc,PAKET Single 90,package,PKG-SINGLE-90,,1,6,34317.0,205902,sheet_item_subtotal_allocated_by_base_rate,,
ORD-011,4,needs_review_source_conflict,main_pengiriman,Kipas Angin → 1 pc,Kipas Angin,addon,ADDON-KIPAS-UNTRACKED,,1,6,19609.83,117659,sheet_item_subtotal_allocated_by_base_rate,,
ORD-012,1,auto_import_candidate,main_pengiriman,PAKET Queen 160 → 1 pcs,PAKET Queen 160,package,PKG-QUEEN-160,,1,2,59000.0,118000,sheet_item_subtotal_direct,,
ORD-013,1,needs_review_source_conflict,main_pengiriman,PAKET Double 120 → 1 pcs,PAKET Double 120,package,PKG-DOUBLE-120,,1,3,49000.0,147000,sheet_item_subtotal_direct,,
ORD-014,1,needs_review_source_conflict,main_pengiriman,PAKET Single 100 → 2 pcs,PAKET Single 100,package,PKG-SINGLE-100,,2,10,44000.0,880000,sheet_item_subtotal_direct,,
ORD-015,1,needs_review_source_conflict,main_pengiriman,PAKET Double 120 → 4 pcs,PAKET Double 120,package,PKG-DOUBLE-120,,4,4,49000.0,784000,sheet_item_subtotal_direct,,
ORD-016,1,needs_review_source_conflict,main_pengiriman,PAKET Single 100 → 1 pcs,PAKET Single 100,package,PKG-SINGLE-100,,1,2,43254.0,86508,sheet_item_subtotal_allocated_by_base_rate,,
ORD-016,2,needs_review_source_conflict,main_pengiriman,PAKET Double 120→ 2 pcs,PAKET Double 120,package,PKG-DOUBLE-120,,2,2,48661.0,194644,sheet_item_subtotal_allocated_by_base_rate,,
ORD-016,3,needs_review_source_conflict,main_pengiriman,PAKET Double 160→ 3 pcs,PAKET Double 160,package,PKG-QUEEN-160,,3,2,59474.67,356848,sheet_item_subtotal_allocated_by_base_rate,,label_double_160_mapped_to_queen_160
ORD-017,1,auto_import_candidate,main_pengiriman,PAKET Queen 160 → 1 pcs,PAKET Queen 160,package,PKG-QUEEN-160,,1,3,59400.0,178200,sheet_item_subtotal_allocated_by_base_rate,,
ORD-017,2,auto_import_candidate,main_pengiriman,PAKET Double 120 → 1 pcs,PAKET Double 120,package,PKG-DOUBLE-120,,1,3,48600.0,145800,sheet_item_subtotal_allocated_by_base_rate,,
ORD-018,1,needs_review_source_conflict,main_pengiriman,PAKET Double 160→ 1 pc,PAKET Double 160,package,PKG-QUEEN-160,,1,4,57650.5,230602,sheet_item_subtotal_allocated_by_base_rate,,label_double_160_mapped_to_queen_160
ORD-018,2,needs_review_source_conflict,main_pengiriman,Add on bantal 4 pc,Add on bantal,addon,ADDON-BANTAL-UNTRACKED,,4,4,7337.38,117398,sheet_item_subtotal_allocated_by_base_rate,,
ORD-019,1,needs_review_source_conflict,main_pengiriman,PAKET Queen 160→ 3 pcs,PAKET Queen 160,package,PKG-QUEEN-160,,3,3,59000.0,531000,sheet_item_subtotal_direct,,
ORD-020,1,needs_review_source_conflict,main_pengiriman,PAKET Queen 160 → 1 pc,PAKET Queen 160,package,PKG-QUEEN-160,,1,2,59000.0,118000,sheet_item_subtotal_direct,,
ORD-021,1,auto_import_candidate,main_pengiriman,PAKET Double 120 → 4 pcs,PAKET Double 120,package,PKG-DOUBLE-120,,4,3,56181.83,674182,sheet_item_subtotal_allocated_by_base_rate,,
ORD-021,2,auto_import_candidate,main_pengiriman,PAKET Single 100 → 1 pcs,PAKET Single 100,package,PKG-SINGLE-100,,1,3,49939.33,149818,sheet_item_subtotal_allocated_by_base_rate,,
ORD-022,1,auto_import_candidate,main_pengiriman,PAKET Queen 160→ 1 pc,PAKET Queen 160,package,PKG-QUEEN-160,,1,2,77423.0,154846,sheet_item_subtotal_allocated_by_base_rate,,
ORD-022,2,auto_import_candidate,main_pengiriman,Sprei 100→ 1 pc,Sprei 100,addon,ADDON-SPREI-UNTRACKED,,1,2,14077.0,28154,sheet_item_subtotal_allocated_by_base_rate,,
ORD-023,1,auto_import_candidate,main_pengiriman,PAKET Double 120→ 2 pcs,PAKET Double 120,package,PKG-DOUBLE-120,,2,8,48125.0,770000,sheet_item_subtotal_direct,,
ORD-024,1,auto_import_candidate,main_pengiriman,PAKET Single 90 → 1 pcs,PAKET Single 90,package,PKG-SINGLE-90,,1,3,33366.67,100100,sheet_item_subtotal_allocated_by_base_rate,,
ORD-024,2,auto_import_candidate,main_pengiriman,PAKET Single 100 → 2 pcs,PAKET Single 100,package,PKG-SINGLE-100,,2,3,38133.33,228800,sheet_item_subtotal_allocated_by_base_rate,,
ORD-024,3,auto_import_candidate,main_pengiriman,PAKET Single 120 → 3 pcs,PAKET Single 120,package,PKG-DOUBLE-120,,3,3,42900.0,386100,sheet_item_subtotal_allocated_by_base_rate,,label_single_120_mapped_to_double_120
ORD-025,1,auto_import_candidate,main_pengiriman,PAKET Double 120→ 1 pcs,PAKET Double 120,package,PKG-DOUBLE-120,,1,4,39089.0,156356,sheet_item_subtotal_allocated_by_base_rate,,
ORD-025,2,auto_import_candidate,main_pengiriman,Free sewa guling 2,Free sewa guling 2,addon_stock,,GULING-COMFY,2,4,6080.5,48644,sheet_item_subtotal_allocated_by_base_rate,,
ORD-026,1,auto_import_candidate,main_pengiriman,PAKET Queen 160 → 4 pcs,PAKET Queen 160,package,PKG-QUEEN-160,,4,7,53571.43,1500000,sheet_item_subtotal_direct,,
ORD-027,1,auto_import_candidate,main_pengiriman,PAKET Double 120 → 1 pcs,PAKET Double 120,package,PKG-DOUBLE-120,,1,1,60000.0,60000,sheet_item_subtotal_direct,,
ORD-028,1,auto_import_candidate,main_pengiriman,PAKET Double 120→ 4 pcs,PAKET Double 120,package,PKG-DOUBLE-120,,4,2,52500.0,420000,sheet_item_subtotal_direct,,
ORD-029,1,auto_import_candidate,main_pengiriman,PAKET Queen 160 → 2 pcs,PAKET Queen 160,package,PKG-QUEEN-160,,2,2,63750.0,255000,sheet_item_subtotal_direct,,
ORD-030,1,auto_import_candidate,main_pengiriman,PAKET Single 90 → 3 pcs,PAKET Single 90,package,PKG-SINGLE-90,,3,1,48333.33,145000,sheet_item_subtotal_direct,,
ORD-031,1,auto_import_candidate,main_pengiriman,PAKET Double 120 → 1 pcs,PAKET Double 120,package,PKG-DOUBLE-120,,1,1,60000.0,60000,sheet_item_subtotal_direct,,
ORD-032,1,auto_import_candidate,main_pengiriman,PAKET Single 90 → 3 pcs,PAKET Single 90,package,PKG-SINGLE-90,,3,1,39812.67,119438,sheet_item_subtotal_allocated_by_base_rate,,
ORD-032,2,auto_import_candidate,main_pengiriman,PAKET Single 100 → 4 pcs,PAKET Single 100,package,PKG-SINGLE-100,,4,1,45500.0,182000,sheet_item_subtotal_allocated_by_base_rate,,
ORD-032,3,auto_import_candidate,main_pengiriman,PAKET Double 120 → 3 pcs,PAKET Double 120,package,PKG-DOUBLE-120,,3,1,51187.33,153562,sheet_item_subtotal_allocated_by_base_rate,,
ORD-033,1,auto_import_candidate,main_pengiriman,PAKET Queen 160 → 2 pcs,PAKET Queen 160,package,PKG-QUEEN-160,,2,1,70000.0,140000,sheet_item_subtotal_direct,,
ORD-034,1,auto_import_candidate,main_pengiriman,PAKET Single 90 → 3 pcs,PAKET Single 90,package,PKG-SINGLE-90,,3,2,37734.33,226406,sheet_item_subtotal_allocated_by_base_rate,,
ORD-034,2,auto_import_candidate,main_pengiriman,PAKET Single 100 → 3 pcs,PAKET Single 100,package,PKG-SINGLE-100,,3,2,43125.0,258750,sheet_item_subtotal_allocated_by_base_rate,,
ORD-034,3,auto_import_candidate,main_pengiriman,PAKET Double 120 → 1 pcs,PAKET Double 120,package,PKG-DOUBLE-120,,1,2,48515.5,97031,sheet_item_subtotal_allocated_by_base_rate,,
ORD-034,4,auto_import_candidate,main_pengiriman,Add on Selimut → 5 pcs,Add on Selimut,addon,ADDON-SELIMUT-UNTRACKED,,5,2,10781.3,107813,sheet_item_subtotal_allocated_by_base_rate,,
ORD-039,1,auto_import_candidate,main_pengiriman,PAKET Single 100 → 1 pcs,PAKET Single 100,package,PKG-SINGLE-100,,1,2,62000.0,124000,sheet_item_subtotal_allocated_by_base_rate,,
ORD-039,2,auto_import_candidate,main_pengiriman,Add on Selimut → 1 pcs,Add on Selimut,addon,ADDON-SELIMUT-UNTRACKED,,1,2,15500.0,31000,sheet_item_subtotal_allocated_by_base_rate,,
